,state,sat_participation(%),ebrw,math,sat_total,year
80,New Hampshire,96,535,528,1063,2018
81,New Jersey,82,547,547,1094,2018
82,New Mexico,16,552,540,1093,2018
83,New York,79,534,534,1068,2018
84,North Carolina,52,554,543,1098,2018
85,North Dakota,2,640,643,1283,2018
86,Oklahoma,8,541,521,1062,2018
87,Ohio,18,552,547,1099,2018
88,Oregon,48,564,553,1117,2018
89,Pennsylvania,70,547,539,1086,2018
90,Rhode Island,97,513,505,1018,2018
91,South Carolina,55,547,523,1070,2018
92,South Dakota,3,622,618,1240,2018
93,Tennessee,6,624,607,1231,2018
94,Texas,66,520,512,1032,2018
95,Utah,4,480,530,1010,2018
96,Vermont,64,565,554,1120,2018
97,Virginia,68,567,550,1117,2018
98,Washington,69,543,538,1081,2018
99,West Virginia,28,513,486,999,2018
100,Wisconsin,3,641,653,1294,2018
101,Wyoming,3,633,625,1257,2018
102,Alabama,7,583,560,1143,2019
103,Alaska,41,556,541,1097,2019
104,Arizona,31,569,565,1134,2019
105,Arkansas,6,582,559,1141,2019
106,California,63,534,531,1065,2019
107,Colorado,100,518,506,1024,2019
108,Connecticut,100,529,516,1046,2019
109,Delaware,100,499,486,985,2019
110,District of Columbia,94,495,480,975,2019
111,Florida,100,516,483,999,2019
112,Georgia,71,538,519,1058,2019
113,Hawaii,54,550,550,1100,2019
114,Idaho,100,505,488,993,2019
115,Illinois,100,509,504,1013,2019
116,Indiana,66,543,537,1080,2019
117,Iowa,3,622,622,1244,2019
118,Kansas,4,618,623,1241,2019
119,Kentucky,4,620,612,1232,2019
120,Louisiana,5,610,591,1200,2019
121,Maine,99,512,502,1013,2019
122,Maryland,82,535,523,1058,2019
123,Massachusetts,81,559,561,1120,2019
124,Michigan,100,507,496,1003,2019
125,Minnesota,4,636,648,1284,2019
126,Mississippi,3,628,608,1237,2019
127,Missouri,4,622,615,1236,2019
128,Montana,9,603,596,1199,2019
129,Nebraska,3,628,631,1260,2019
130,Nevada,20,580,576,1156,2019
131,New Hampshire,95,533,526,1059,2019
132,New Jersey,82,544,545,1090,2019
133,New Mexico,18,543,530,1073,2019
134,New York,79,531,533,1064,2019
135,North Carolina,51,554,546,1100,2019
136,North Dakota,2,627,636,1263,2019
137,Ohio,19,550,548,1097,2019
138,Oklahoma,22,490,472,963,2019
139,Oregon,51,562,550,1112,2019
140,Pennsylvania,70,545,537,1082,2019
141,Rhode Island,100,503,492,995,2019
142,South Carolina,68,526,504,1030,2019
143,South Dakota,3,633,635,1268,2019
144,Tennessee,7,618,602,1220,2019
145,Texas,68,515,507,1022,2019
146,Utah,4,614,615,1230,2019
147,Vermont,66,560,546,1106,2019
148,Virginia,68,567,551,1119,2019
149,Washington,70,539,535,1074,2019
150,West Virginia,99,483,460,943,2019
151,Wisconsin,3,635,648,1283,2019
152,Wyoming,3,623,615,1238,2019
